match_id,tournament,match_date,team1_name,team2_name,odds_team1_decimal,odds_team2_decimal,odds_team1_american,odds_team2_american,score_team1,score_team2,winner,player_ids_team1,player_ids_team2,patch,match_type,scrape_date,result,wins_team_1,wins_team_2,n_games,first_game_start,last_game_start,composition_team1,composition_team2,favorite_won,betting_implied_prob,team_1_won,estimated_probability,kelly_team1,kelly_team2,bet_side,kelly,bet_odds,bet_win,bankroll,prev_bankroll,ret,logret,cutoff
"8313181748, 8313251877",Dota 2 DreamLeague Season 26,2025-05-29,Parivision,Gaimin Gladiators,1.25,3.4,-400,240,NA,NA,1,NA,NA,58,NA,2025-05-27,2 - 0,2,0,2,2025-05-29T18:58:01Z,2025-05-29T20:05:00Z,56351509_73401082_106573901_164199202_1044002267,16497807_93817671_97590558_171262902_221666230,TRUE,0.7311827956989247,1,0.5868426919532017,0,0.16863951973296423,2,0.16863951973296423,3.4,FALSE,83.59774567389582,100.55535192994012,-0.16863951973296423,-0.18469178725171478,2025-05-26
"8312457782, 8312522753",Dota 2 DreamLeague Season 26,2025-05-29,Team Liquid,Talon Esports,1.529100529100529,2.29,-189,129,NA,NA,2,NA,NA,58,NA,2025-05-27,0 - 2,0,2,2,2025-05-29T09:25:01Z,2025-05-29T10:38:00Z,54580962_77490514_126212866_152455523_201358612,126842529_152859296_184950344_301750126_375507918,FALSE,0.5996176279076211,0,0.42174977768383637,0,0.2513124101581509,2,0.2513124101581509,2.29,TRUE,110.69955039822823,83.59774567389582,0.32419300910401466,0.28080322415923614,2025-05-26
"8312893959, 8313000571, 8313079694",Dota 2 DreamLeague Season 26,2025-05-29,Aurora,Nigma Galaxy,1.3802281368821292,2.75,-263,175,NA,NA,2,NA,NA,58,NA,2025-05-28,1 - 2,1,2,3,2025-05-29T15:25:00Z,2025-05-29T17:42:00Z,108958769_124801257_256156323_431770905_858106446,9403474_101356886_111620041_140297552_206642367,FALSE,0.6658227848101266,0,0.524278409894725,0,0.17613392730828936,2,0.17613392730828936,2.75,TRUE,144.82095688330648,110.69955039822823,0.3082343727895066,0.2686784210732923,2025-05-26
"8312622965, 8312730139",Dota 2 DreamLeague Season 26,2025-05-29,Betboom Team,Yakult's Brothers,1.4,2.65,-250,165,NA,NA,1,NA,NA,58,NA,2025-05-28,2 - 0,2,0,2,2025-05-29T12:25:00Z,2025-05-29T13:27:00Z,165564598_172099728_196878136_317880638_480412663,101259972_139031324_168028715_202217968_207829314,TRUE,0.654320987654321,1,0.6641322774012105,0,0,0,0,1,NA,144.82095688330648,144.82095688330648,0,0,2025-05-26
"8313181748, 8313251877",Dota 2 DreamLeague Season 26,2025-05-29,Parivision,Gaimin Gladiators,1.2298850574712643,3.65,-435,265,NA,NA,1,NA,NA,58,NA,2025-05-28,2 - 0,2,0,2,2025-05-29T18:58:01Z,2025-05-29T20:05:00Z,56351509_73401082_106573901_164199202_1044002267,16497807_93817671_97590558_171262902_221666230,TRUE,0.7479684371687669,1,0.5868426919532017,0,0.19170723561162786,2,0.19170723561162786,3.65,FALSE,117.05773158057704,144.82095688330648,-0.1917072356116279,-0.2128309539236613,2025-05-26
"8312457782, 8312522753",Dota 2 DreamLeague Season 26,2025-05-29,Team Liquid,Talon Esports,1.5494505494505495,2.29,-182,129,NA,NA,2,NA,NA,58,NA,2025-05-28,0 - 2,0,2,2,2025-05-29T09:25:01Z,2025-05-29T10:38:00Z,54580962_77490514_126212866_152455523_201358612,126842529_152859296_184950344_301750126_375507918,FALSE,0.5964395088582959,0,0.42174977768383637,0,0.2513124101581509,2,0.2513124101581509,2.29,TRUE,155.00702982057436,117.05773158057704,0.32419300910401466,0.28080322415923614,2025-05-26
"8312893959, 8313000571, 8313079694",Dota 2 DreamLeague Season 26,2025-05-29,Aurora,Nigma Galaxy,1.3401360544217686,3.08,-294,208,NA,NA,2,NA,NA,58,NA,2025-05-29,1 - 2,1,2,3,2025-05-29T15:25:00Z,2025-05-29T17:42:00Z,108958769_124801257_256156323_431770905_858106446,9403474_101356886_111620041_140297552_206642367,FALSE,0.6968111302634818,0,0.524278409894725,0,0.22366466227127266,2,0.22366466227127266,3.08,TRUE,227.11978736751743,155.00702982057436,0.4652224975242472,0.3820071063802952,2025-05-26
"8312622965, 8312730139",Dota 2 DreamLeague Season 26,2025-05-29,Betboom Team,Yakult's Brothers,1.4098360655737705,2.73,-244,173,NA,NA,1,NA,NA,58,NA,2025-05-29,2 - 0,2,0,2,2025-05-29T12:25:00Z,2025-05-29T13:27:00Z,165564598_172099728_196878136_317880638_480412663,101259972_139031324_168028715_202217968_207829314,TRUE,0.6594464024076347,1,0.6641322774012105,0,0,0,0,1,NA,227.11978736751743,227.11978736751743,0,0,2025-05-26
"8313181748, 8313251877",Dota 2 DreamLeague Season 26,2025-05-29,Parivision,Gaimin Gladiators,1.3095975232198145,3.31,-323,231,NA,NA,1,NA,NA,58,NA,2025-05-29,2 - 0,2,0,2,2025-05-29T18:58:01Z,2025-05-29T20:05:00Z,56351509_73401082_106573901_164199202_1044002267,16497807_93817671_97590558_171262902_221666230,TRUE,0.7165126362984459,1,0.5868426919532017,0,0.15911285265580188,2,0.15911285265580188,3.31,FALSE,190.98211010489257,227.11978736751743,-0.1591128526558019,-0.17329781666466124,2025-05-26
"8312457782, 8312522753",Dota 2 DreamLeague Season 26,2025-05-29,Team Liquid,Talon Esports,2.16,1.641025641025641,116,-156,NA,NA,2,NA,NA,58,NA,2025-05-29,0 - 2,0,2,2,2025-05-29T09:25:01Z,2025-05-29T10:38:00Z,54580962_77490514_126212866_152455523_201358612,126842529_152859296_184950344_301750126_375507918,TRUE,0.4317323259579061,0,0.42174977768383637,0,0,0,0,1,NA,190.98211010489257,190.98211010489257,0,0,2025-05-26
